0.935,0.00,0.835,0.093,0.00,0.00,0.182,0.0,0.0,0.0,0.00,0.938,0.974,0.0,0.093,0.234,0.975,0.00,0.182,0.0,0.00,0.00,0.0,0.194,0.724,0.0,0.039,0.074,0.709,0.08,0.256,0.00,0.0,0.0,0.0,0.0,0.079,0.0,0.493,0.00,0.974,0.078,0.833,0.0,0.973,0.979,0.0,0.157,0.00,0.0,0.00,0.0,0.00,0.52,0.00,0.077,0.00,0.00,0.0,0.0,0.00,0.157,0.942,0.077,0.0,0.978,0.078,0.08,0.978,0.0,0.182,0.201,0.08,0.0,0.984,0.08,0.696,0.077,0.0,0.00,0.00,0.077,0.074,0.00,0.0,0.00,0.0,0.951
0.94,0.00,0.78,0.079,0.00,0.00,0.226,0.0,0.0,0.0,0.00,0.931,0.973,0.0,0.077,0.232,0.974,0.00,0.226,0.0,0.00,0.00,0.0,0.291,0.725,0.0,0.036,0.073,0.833,0.08,0.232,0.00,0.0,0.0,0.0,0.0,0.077,0.0,0.502,0.00,0.973,0.077,0.778,0.0,0.973,0.979,0.0,0.56,0.00,0.0,0.00,0.0,0.00,0.52,0.00,0.077,0.00,0.00,0.982,0.0,0.00,0.56,0.941,0.077,0.0,0.965,0.077,0.08,0.978,0.0,0.226,0.0,0.078,0.0,0.984,0.078,0.982,0.079,0.0,0.00,0.00,0.079,0.073,0.00,0.0,0.00,0.0,0.0
0.258,0.00,0.882,0.129,0.882,0.00,0.723,0.0,0.244,0.0,0.00,0.244,0.735,0.47,0.0,0.351,0.914,0.00,0.723,0.244,0.244,0.00,0.694,0.661,0.244,0.252,0.333,0.928,0.249,0.124,0.333,0.244,0.0,0.159,0.128,0.319,0.0,0.0,0.227,0.00,0.0,0.125,0.882,0.86,0.244,0.059,0.0,0.329,0.882,0.0,0.00,0.0,0.00,0.322,0.319,0.058,0.661,0.244,0.877,0.206,0.661,0.329,0.249,0.058,0.0,0.908,0.125,0.244,0.0,0.0,0.723,0.244,0.13,0.0,0.975,0.13,0.224,0.124,0.0,0.319,0.661,0.124,0.246,0.00,0.0,0.00,0.0,0.939
0.251,0.00,0.86,0.124,0.86,0.00,0.226,0.0,0.244,0.0,0.00,0.244,0.669,0.0,0.0,0.346,0.912,0.00,0.226,0.244,0.0,0.00,0.0,0.634,0.244,0.0,0.336,0.246,0.41,0.09,0.346,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.154,0.00,0.124,0.126,0.856,0.0,0.245,0.059,0.0,0.309,0.856,0.0,0.00,0.0,0.00,0.3,0.319,0.07,0.661,0.319,0.89,0.183,0.661,0.309,0.279,0.07,0.0,0.864,0.126,0.244,0.0,0.0,0.226,0.244,0.13,0.0,0.833,0.13,0.435,0.124,0.0,0.319,0.661,0.124,0.246,0.00,0.0,0.00,0.0,0.903
0.203,0.00,0.867,0.123,0.867,0.00,0.273,0.0,0.244,0.0,0.00,0.244,0.243,0.0,0.0,0.346,0.912,0.00,0.273,0.244,0.0,0.00,0.0,0.836,0.244,0.0,0.346,0.248,0.273,0.124,0.363,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.136,0.00,0.124,0.129,0.883,0.0,0.244,0.059,0.0,0.325,0.883,0.0,0.00,0.0,0.00,0.337,0.319,0.069,0.661,0.319,0.427,0.206,0.661,0.325,0.108,0.069,0.0,0.909,0.129,0.244,0.0,0.0,0.273,0.244,0.131,0.0,0.773,0.131,0.268,0.124,0.0,0.319,0.661,0.124,0.248,0.00,0.0,0.00,0.0,0.935
0.244,0.00,0.803,0.0,0.803,0.00,0.459,0.0,0.244,0.0,0.00,0.244,0.725,0.0,0.0,0.346,0.913,0.00,0.459,0.244,0.0,0.00,0.0,0.435,0.244,0.0,0.351,0.248,0.342,0.124,0.363,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.17,0.00,0.123,0.126,0.856,0.0,0.246,0.053,0.0,0.544,0.856,0.0,0.00,0.0,0.00,0.333,0.319,0.07,0.661,0.319,0.62,0.0,0.661,0.544,0.244,0.07,0.0,0.931,0.126,0.244,0.0,0.0,0.459,0.244,0.13,0.0,0.908,0.13,0.439,0.123,0.0,0.319,0.661,0.123,0.248,0.00,0.0,0.00,0.0,0.865
0.244,0.00,0.858,0.0,0.858,0.00,0.432,0.0,0.243,0.0,0.00,0.244,0.711,0.0,0.0,0.336,0.913,0.00,0.432,0.244,0.0,0.00,0.0,0.691,0.244,0.0,0.346,0.232,0.306,0.124,0.336,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.131,0.00,0.124,0.126,0.847,0.0,0.244,0.051,0.0,0.431,0.847,0.0,0.00,0.0,0.00,0.386,0.319,0.07,0.661,0.319,0.594,0.0,0.661,0.431,0.244,0.07,0.0,0.887,0.126,0.244,0.0,0.0,0.432,0.244,0.129,0.0,0.973,0.129,0.439,0.123,0.0,0.319,0.661,0.123,0.232,0.00,0.0,0.00,0.0,0.638
0.777,0.647,0.645,0.966,0.0,0.00,0.745,0.0,0.78,0.651,0.00,0.724,0.658,0.747,0.0,0.655,0.739,0.00,0.745,0.697,0.0,0.647,0.71,0.73,0.777,0.838,0.655,0.837,0.622,0.719,0.655,0.0,0.0,0.797,0.551,0.554,0.647,0.0,0.635,0.00,0.964,0.68,0.644,0.637,0.776,0.0,0.0,0.655,0.0,0.669,0.555,0.0,0.971,0.73,0.0,0.543,0.0,0.0,0.7,0.651,0.0,0.782,0.777,0.543,0.0,0.633,0.68,0.73,0.0,0.641,0.745,0.719,0.558,0.824,0.971,0.558,0.797,0.767,0.554,0.0,0.0,0.767,0.661,0.00,0.687,0.00,0.558,0.967
0.74,0.824,0.644,0.685,0.0,0.00,0.641,0.0,0.78,0.778,0.00,0.635,0.694,0.0,0.0,0.765,0.73,0.00,0.641,0.656,0.0,0.824,0.715,0.759,0.74,0.615,0.655,0.81,0.622,0.648,0.637,0.0,0.0,0.808,0.588,0.562,0.646,0.0,0.633,0.00,0.942,0.559,0.645,0.636,0.669,0.0,0.0,0.643,0.0,0.555,0.558,0.0,0.0,0.759,0.0,0.546,0.0,0.0,0.646,0.777,0.0,0.759,0.779,0.546,0.0,0.857,0.0,0.759,0.0,0.651,0.641,0.648,0.561,0.854,0.97,0.561,0.641,0.876,0.552,0.0,0.0,0.876,0.646,0.00,0.0,0.00,0.554,0.586
0.74,0.854,0.638,0.732,0.0,0.00,0.729,0.0,0.76,0.828,0.00,0.777,0.7,0.0,0.0,0.765,0.646,0.00,0.729,0.65,0.0,0.854,0.746,0.714,0.74,0.623,0.73,0.867,0.615,0.789,0.65,0.0,0.0,0.817,0.551,0.724,0.82,0.0,0.636,0.00,0.965,0.576,0.641,0.603,0.807,0.0,0.0,0.728,0.0,0.78,0.557,0.0,0.0,0.714,0.0,0.545,0.0,0.0,0.821,0.777,0.0,0.774,0.815,0.545,0.0,0.819,0.0,0.714,0.0,0.84,0.729,0.789,0.194,0.646,0.971,0.194,0.793,0.772,0.558,0.0,0.0,0.772,0.713,0.00,0.0,0.00,0.555,0.628
0.724,0.646,0.641,0.791,0.0,0.00,0.711,0.0,0.781,0.665,0.00,0.74,0.628,0.0,0.0,0.822,0.633,0.00,0.711,0.739,0.0,0.646,0.716,0.691,0.724,0.671,0.639,0.813,0.677,0.771,0.829,0.0,0.0,0.665,0.574,0.615,0.781,0.0,0.635,0.00,0.959,0.586,0.637,0.657,0.638,0.0,0.0,0.729,0.0,0.555,0.553,0.0,0.0,0.691,0.0,0.494,0.0,0.0,0.659,0.628,0.0,0.821,0.835,0.494,0.0,0.794,0.0,0.691,0.0,0.649,0.711,0.771,0.557,0.672,0.97,0.557,0.844,0.764,0.174,0.0,0.0,0.764,0.728,0.00,0.0,0.00,0.556,0.595
0.815,0.646,0.668,0.79,0.0,0.00,0.704,0.0,0.716,0.781,0.00,0.634,0.673,0.0,0.0,0.69,0.586,0.00,0.704,0.667,0.0,0.646,0.749,0.669,0.687,0.765,0.785,0.84,0.593,0.812,0.799,0.0,0.0,0.65,0.592,0.691,0.709,0.0,0.633,0.00,0.952,0.622,0.667,0.67,0.557,0.0,0.0,0.711,0.0,0.702,0.551,0.0,0.0,0.669,0.0,0.514,0.0,0.0,0.781,0.651,0.0,0.703,0.724,0.514,0.0,0.76,0.0,0.669,0.0,0.648,0.704,0.812,0.564,0.845,0.971,0.564,0.68,0.756,0.555,0.0,0.0,0.756,0.764,0.00,0.0,0.00,0.729,0.569
0.929,0.966,0.968,0.969,0.0,0.00,0.927,0.503,0.966,0.898,0.00,0.926,0.73,0.972,0.0,0.927,0.932,0.00,0.927,0.932,0.0,0.923,0.961,0.923,0.929,0.958,0.921,0.966,0.889,0.522,0.927,0.0,0.0,0.892,0.543,0.948,0.923,0.969,0.706,0.00,0.969,0.948,0.968,0.906,0.964,0.0,0.921,0.933,0.968,0.848,0.965,0.0,0.0,0.923,0.0,0.381,0.0,0.0,0.961,0.921,0.0,0.924,0.928,0.381,0.0,0.949,0.95,0.923,0.0,0.883,0.927,0.522,0.513,0.966,0.973,0.513,0.962,0.97,0.369,0.0,0.0,0.97,0.939,0.00,0.972,0.00,0.909,0.972
0.929,0.966,0.931,0.563,0.0,0.00,0.946,0.503,0.924,0.897,0.00,0.929,0.655,0.0,0.0,0.922,0.925,0.00,0.946,0.925,0.0,0.932,0.953,0.965,0.926,0.961,0.904,0.973,0.89,0.53,0.922,0.0,0.0,0.927,0.585,0.951,0.932,0.953,0.732,0.00,0.961,0.95,0.931,0.909,0.509,0.0,0.924,0.922,0.931,0.515,0.964,0.0,0.0,0.965,0.0,0.18,0.0,0.0,0.961,0.924,0.0,0.93,0.924,0.18,0.0,0.959,0.948,0.965,0.0,0.81,0.946,0.53,0.546,0.966,0.927,0.546,0.919,0.968,0.409,0.0,0.0,0.968,0.972,0.00,0.0,0.00,0.926,0.556
0.926,0.959,0.933,0.524,0.0,0.00,0.927,0.0,0.927,0.562,0.00,0.97,0.641,0.0,0.0,0.926,0.919,0.00,0.927,0.919,0.0,0.928,0.964,0.964,0.928,0.908,0.921,0.965,0.894,0.96,0.921,0.0,0.0,0.923,0.57,0.946,0.928,0.914,0.653,0.00,0.965,0.947,0.933,0.898,0.524,0.0,0.918,0.936,0.933,0.744,0.961,0.0,0.0,0.964,0.0,0.147,0.0,0.0,0.96,0.918,0.0,0.935,0.926,0.147,0.0,0.947,0.947,0.964,0.0,0.908,0.927,0.96,0.537,0.959,0.906,0.537,0.924,0.969,0.372,0.0,0.0,0.969,0.94,0.00,0.0,0.00,0.937,0.539
0.927,0.965,0.927,0.508,0.0,0.00,0.947,0.0,0.934,0.902,0.00,0.928,0.554,0.0,0.0,0.963,0.97,0.00,0.947,0.97,0.0,0.93,0.956,0.929,0.924,0.912,0.93,0.969,0.895,0.942,0.956,0.0,0.0,0.922,0.641,0.947,0.93,0.97,0.746,0.00,0.914,0.529,0.927,0.913,0.655,0.0,0.926,0.93,0.927,0.503,0.96,0.0,0.0,0.929,0.0,0.143,0.0,0.0,0.965,0.926,0.0,0.927,0.925,0.143,0.0,0.945,0.529,0.929,0.0,0.883,0.947,0.942,0.538,0.965,0.965,0.538,0.962,0.937,0.433,0.0,0.0,0.937,0.946,0.00,0.0,0.00,0.925,0.544
0.928,0.969,0.968,0.746,0.0,0.00,0.927,0.0,0.927,0.894,0.00,0.926,0.578,0.0,0.0,0.515,0.929,0.00,0.927,0.921,0.0,0.929,0.899,0.933,0.926,0.911,0.921,0.946,0.909,0.921,0.924,0.0,0.0,0.891,0.55,0.952,0.929,0.965,0.859,0.00,0.906,0.525,0.968,0.929,0.564,0.0,0.926,0.929,0.968,0.838,0.961,0.0,0.0,0.933,0.0,0.128,0.0,0.0,0.925,0.926,0.0,0.926,0.929,0.128,0.0,0.946,0.525,0.933,0.0,0.81,0.927,0.921,0.511,0.969,0.936,0.511,0.52,0.934,0.45,0.0,0.0,0.934,0.941,0.00,0.0,0.00,0.895,0.496
0.593,0.19,0.417,0.705,0.0,0.00,0.248,0.0,0.109,0.236,0.00,0.728,0.536,0.426,0.0,0.623,0.454,0.00,0.248,0.335,0.524,0.194,0.786,0.489,0.531,0.42,0.623,0.898,0.509,0.312,0.624,0.0,0.0,0.252,0.108,0.627,0.194,0.48,0.433,0.00,0.48,0.106,0.42,0.619,0.58,0.0,0.438,0.578,0.0,0.589,0.0,0.0,0.0,0.643,0.403,0.097,0.0,0.403,0.644,0.438,0.0,0.519,0.593,0.097,0.0,0.693,0.105,0.524,0.0,0.622,0.248,0.312,0.284,0.346,0.456,0.284,0.833,0.419,0.0,0.403,0.0,0.419,0.422,0.746,0.323,0.00,0.267,0.508
0.663,0.346,0.544,0.71,0.0,0.00,0.794,0.0,0.108,0.42,0.00,0.666,0.533,0.0,0.0,0.524,0.463,0.00,0.794,0.399,0.0,0.405,0.798,0.768,0.557,0.335,0.624,0.426,0.898,0.326,0.622,0.0,0.0,0.272,0.108,0.618,0.405,0.579,0.535,0.00,0.579,0.105,0.455,0.625,0.577,0.0,0.354,0.614,0.0,0.524,0.0,0.0,0.0,0.648,0.403,0.086,0.0,0.403,0.649,0.354,0.0,0.517,0.71,0.086,0.0,0.465,0.0,0.481,0.0,0.0,0.794,0.326,0.284,0.216,0.663,0.284,0.831,0.49,0.0,0.403,0.0,0.49,0.376,0.0,0.0,0.00,0.268,0.255
0.709,0.248,0.434,0.722,0.0,0.00,0.942,0.0,0.108,0.588,0.00,0.642,0.554,0.0,0.0,0.624,0.464,0.00,0.942,0.32,0.0,0.278,0.784,0.835,0.624,0.262,0.623,0.59,0.899,0.326,0.623,0.0,0.0,0.329,0.108,0.763,0.278,0.635,0.366,0.00,0.635,0.107,0.371,0.63,0.58,0.0,0.473,0.301,0.0,0.523,0.0,0.0,0.0,0.643,0.403,0.086,0.0,0.403,0.633,0.473,0.0,0.508,0.66,0.086,0.0,0.5,0.0,0.43,0.0,0.0,0.942,0.326,0.296,0.343,0.655,0.296,0.832,0.499,0.0,0.403,0.0,0.499,0.375,0.0,0.0,0.00,0.267,0.918
0.655,0.361,0.455,0.671,0.0,0.00,0.858,0.0,0.108,0.59,0.00,0.732,0.494,0.0,0.0,0.622,0.458,0.00,0.858,0.455,0.0,0.265,0.627,0.776,0.673,0.339,0.624,0.367,0.786,0.313,0.524,0.0,0.0,0.406,0.111,0.583,0.265,0.471,0.522,0.00,0.471,0.105,0.434,0.631,0.57,0.0,0.748,0.395,0.0,0.409,0.0,0.0,0.0,0.64,0.403,0.097,0.0,0.403,0.765,0.748,0.0,0.421,0.613,0.097,0.0,0.527,0.0,0.445,0.0,0.0,0.858,0.313,0.0,0.227,0.579,0.0,0.828,0.305,0.0,0.403,0.0,0.305,0.22,0.0,0.0,0.00,0.273,0.47
0.652,0.337,0.49,0.099,0.0,0.00,0.41,0.0,0.108,0.236,0.00,0.459,0.468,0.0,0.0,0.537,0.453,0.00,0.41,0.362,0.0,0.388,0.626,0.496,0.545,0.28,0.622,0.301,0.472,0.327,0.524,0.0,0.0,0.325,0.106,0.799,0.388,0.694,0.415,0.00,0.694,0.108,0.569,0.624,0.58,0.0,0.426,0.421,0.0,0.829,0.0,0.0,0.0,0.638,0.403,0.09,0.0,0.403,0.76,0.426,0.0,0.469,0.686,0.09,0.0,0.694,0.0,0.508,0.0,0.0,0.41,0.327,0.237,0.342,0.46,0.237,0.831,0.244,0.0,0.403,0.0,0.244,0.186,0.0,0.0,0.00,0.269,0.331
0.681,0.0,0.77,0.581,0.0,0.00,0.473,0.0,0.076,0.914,0.914,0.685,0.437,0.546,0.0,0.245,0.874,0.00,0.473,0.429,0.0,0.0,0.643,0.592,0.684,0.786,0.248,0.605,0.785,0.222,0.238,0.0,0.0,0.0,0.0,0.684,0.683,0.0,0.098,0.00,0.749,0.345,0.804,0.869,0.827,0.914,0.0,0.377,0.0,0.0,0.0,0.0,0.0,0.599,0.0,0.0,0.0,0.0,0.797,0.0,0.0,0.377,0.68,0.0,0.0,0.936,0.345,0.592,0.869,0.0,0.0,0.222,0.166,0.683,0.87,0.166,0.817,0.0,0.0,0.0,0.0,0.353,0.605,0.0,0.329,0.00,0.321,0.798
0.683,0.0,0.796,0.333,0.0,0.00,0.473,0.0,0.174,0.891,0.0,0.682,0.443,0.0,0.0,0.248,0.871,0.00,0.473,0.318,0.0,0.0,0.645,0.425,0.684,0.724,0.425,0.159,0.775,0.0,0.434,0.0,0.0,0.0,0.0,0.518,0.0,0.0,0.107,0.00,0.671,0.0,0.724,0.87,0.815,0.891,0.0,0.383,0.0,0.0,0.0,0.0,0.0,0.605,0.0,0.0,0.0,0.0,0.791,0.0,0.0,0.383,0.681,0.0,0.0,0.93,0.0,0.425,0.0,0.0,0.0,0.0,0.186,0.0,0.888,0.186,0.816,0.0,0.0,0.0,0.0,0.0,0.159,0.0,0.256,0.00,0.0,0.818
0.68,0.0,0.881,0.641,0.0,0.00,0.562,0.0,0.144,0.885,0.0,0.666,0.353,0.0,0.0,0.245,0.873,0.00,0.562,0.429,0.0,0.0,0.658,0.581,0.665,0.785,0.592,0.152,0.783,0.0,0.248,0.0,0.0,0.0,0.0,0.599,0.0,0.0,0.102,0.00,0.728,0.0,0.905,0.88,0.698,0.885,0.0,0.327,0.0,0.0,0.0,0.0,0.0,0.597,0.0,0.0,0.0,0.0,0.789,0.0,0.0,0.327,0.68,0.0,0.0,0.93,0.0,0.581,0.0,0.0,0.0,0.0,0.218,0.0,0.759,0.218,0.813,0.0,0.0,0.0,0.0,0.0,0.152,0.0,0.0,0.00,0.0,0.682
0.718,0.0,0.793,0.0,0.0,0.00,0.471,0.0,0.179,0.891,0.0,0.755,0.428,0.0,0.0,0.245,0.873,0.00,0.471,0.318,0.0,0.0,0.644,0.171,0.762,0.662,0.311,0.158,0.762,0.0,0.425,0.0,0.0,0.0,0.0,0.684,0.0,0.0,0.107,0.00,0.749,0.0,0.893,0.0,0.747,0.891,0.0,0.438,0.0,0.0,0.0,0.0,0.0,0.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438,0.689,0.0,0.0,0.93,0.0,0.171,0.0,0.0,0.0,0.0,0.0,0.0,0.769,0.0,0.818,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.00,0.0,0.666
0.684,0.0,0.848,0.0,0.0,0.00,0.379,0.0,0.19,0.882,0.0,0.718,0.45,0.0,0.0,0.245,0.869,0.00,0.379,0.429,0.0,0.0,0.68,0.248,0.713,0.786,0.248,0.152,0.755,0.0,0.592,0.0,0.0,0.0,0.0,0.517,0.0,0.0,0.104,0.00,0.75,0.0,0.848,0.0,0.812,0.882,0.0,0.192,0.0,0.0,0.0,0.0,0.0,0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.719,0.0,0.0,0.932,0.0,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.749,0.0,0.819,0.0,0.0,0.0,0.0,0.0,0.152,0.0,0.0,0.00,0.0,0.397
0.608,0.6,0.597,0.967,0.0,0.545,0.621,0.751,0.602,0.585,0.0,0.607,0.6,0.609,0.602,0.605,0.835,0.00,0.621,0.835,0.0,0.617,0.634,0.619,0.608,0.645,0.619,0.609,0.602,0.609,0.605,0.0,0.0,0.597,0.607,0.611,0.617,0.0,0.607,0.00,0.599,0.608,0.597,0.568,0.598,0.607,0.602,0.622,0.0,0.617,0.837,0.545,0.0,0.619,0.0,0.092,0.0,0.0,0.596,0.602,0.0,0.602,0.607,0.092,0.0,0.916,0.608,0.619,0.602,0.624,0.621,0.609,0.609,0.6,0.607,0.609,0.77,0.603,0.577,0.0,0.0,0.603,0.618,0.0,0.614,0.00,0.608,0.732
0.607,0.604,0.599,0.599,0.0,0.0,0.604,0.0,0.603,0.582,0.0,0.601,0.605,0.0,0.599,0.606,0.641,0.00,0.604,0.619,0.0,0.6,0.613,0.606,0.608,0.666,0.621,0.605,0.6,0.606,0.604,0.0,0.0,0.596,0.0,0.612,0.6,0.0,0.613,0.00,0.603,0.605,0.599,0.56,0.599,0.607,0.602,0.605,0.0,0.654,0.576,0.0,0.0,0.621,0.0,0.093,0.0,0.0,0.598,0.602,0.0,0.602,0.607,0.093,0.0,0.91,0.0,0.621,0.592,0.684,0.604,0.605,0.609,0.604,0.605,0.609,0.636,0.615,0.577,0.0,0.0,0.615,0.599,0.0,0.0,0.00,0.68,0.628
0.607,0.605,0.621,0.592,0.0,0.0,0.604,0.0,0.602,0.58,0.0,0.607,0.599,0.0,0.6,0.6,0.608,0.00,0.604,0.6,0.0,0.628,0.589,0.604,0.605,0.651,0.606,0.598,0.601,0.605,0.618,0.0,0.0,0.599,0.617,0.616,0.628,0.0,0.607,0.00,0.614,0.606,0.621,0.564,0.611,0.607,0.608,0.605,0.0,0.617,0.594,0.0,0.0,0.606,0.0,0.091,0.0,0.0,0.621,0.608,0.0,0.602,0.607,0.091,0.0,0.861,0.0,0.606,0.59,0.624,0.604,0.608,0.607,0.605,0.612,0.607,0.625,0.606,0.576,0.0,0.0,0.606,0.598,0.0,0.0,0.00,0.605,0.724
