,model,qscore,dockq,tmscore
113,T1181TS447_5o,0.016,0.03766634707574305,0.32601
114,T1181TS444_4o,0.195,0.08429338446788112,0.40607
115,T1181TS091_5o,0.008,0.00932502396931927,0.35513
116,T1181TS071_5o,0.456,0.17507286673058486,0.4401
117,T1181TS348_4o,0.317,0.13396356663470757,0.41511
118,T1181TS320_5o,0.27,0.10272003835091084,0.41312
119,T1181TS399_3o,0.417,0.1466490891658677,0.79193
120,T1181TS239_4o,0.605,0.20001725790987537,0.84704
121,T1181TS312_4o,0.0,0.003335570469798658,0.30749
122,T1181TS347_3o,0.267,0.11033173537871524,0.44294
123,T1181TS185_1o,0.578,0.1903422818791946,0.8497
124,T1181TS325_5o,0.267,0.11033173537871524,0.44294
125,T1181TS239_3o,0.526,0.20835666347075743,0.43687
126,T1181TS288_5o,0.446,0.09433461169702781,0.73384
127,T1181TS390_2o,0.528,0.17000958772770852,0.76772
128,T1181TS444_5o,0.555,0.20766347075743047,0.82414
129,T1181TS360_3o,0.541,0.21894918504314476,0.46568
130,T1181TS462_3o,0.549,0.18665867689357624,0.83394
131,T1181TS046_3o,0.325,0.11569511025886864,0.79303
132,T1181TS229_4o,0.605,0.20001725790987537,0.84704
133,T1181TS119_3o,0.661,0.2540412272291467,0.84585
134,T1181TS325_4o,0.267,0.11033173537871524,0.44294
135,T1181TS165_4o,0.287,0.11367018216682648,0.37214
136,T1181TS180_4o,0.501,0.15033077660594438,0.83563
137,T1181TS456_4o,0.267,0.11033173537871524,0.44294
138,T1181TS347_4o,0.267,0.11033173537871524,0.44294
139,T1181TS131_5o,0.404,0.07130297219558965,0.74766
140,T1181TS147_5o,0.271,0.12629434324065197,0.41839
141,T1181TS439_4o,0.605,0.20001725790987537,0.84704
142,T1181TS494_2o,0.578,0.19534611697027804,0.83539
143,T1181TS037_4o,0.359,0.14041898370086292,0.40172
144,T1181TS086_3o,0.566,0.19134611697027804,0.84054
145,T1181TS291_3o,0.458,0.16837871524448705,0.40428
146,T1181TS165_1o,0.52,0.17300767018216684,0.833
147,T1181TS150_1o,0.565,0.20367785234899327,0.44277
148,T1181TS071_4o,0.536,0.19634707574304894,0.4395
149,T1181TS493_5o,0.2,0.05767497603068073,0.61549
150,T1181TS003_1o,0.611,0.22735186960690318,0.85413
151,T1181TS493_1o,0.528,0.21764621284755514,0.45918
152,T1181TS073_1o,0.456,0.10900000000000001,0.73295
153,T1181TS433_1o,0.005,0.033327900287631836,0.65507
154,T1181TS350_3o,0.458,0.16871524448705658,0.40427
155,T1181TS348_5o,0.491,0.15096548418024927,0.75294
156,T1181TS444_2o,0.16,0.07666538830297219,0.74622
157,T1181TS390_5o,0.441,0.11503355704697987,0.79041
158,T1181TS180_2o,0.506,0.14868072866730586,0.836
159,T1181TS229_1o,0.668,0.267895493767977,0.50783
160,T1181TS086_2o,0.515,0.1989856184084372,0.44535
161,T1181TS125_5o,0.353,0.11898657718120806,0.34853
162,T1181TS399_2o,0.337,0.14679482262703739,0.4221
163,T1181TS187_3o,0.363,0.08266922339405561,0.70642
164,T1181TS091_2o,0.012,0.012006711409395973,0.24686
165,T1181TS245_3o,0.402,0.13633173537871526,0.76042
166,T1181TS398_1o,0.52,0.17300767018216684,0.833
167,T1181TS125_2o,0.337,0.14679482262703739,0.4221
168,T1181TS291_2o,0.521,0.18000191754554168,0.77685
169,T1181TS248_3o,0.325,0.11569511025886864,0.79303
170,T1181TS073_5o,0.294,0.08159827420901246,0.75863
171,T1181TS399_5o,0.353,0.11898657718120806,0.34853
172,T1181TS304_3o,0.325,0.11569511025886864,0.79303
173,T1181TS441_1o,0.005,0.033327900287631836,0.65507
174,T1181TS188_2o,0.287,0.13070278044103548,0.42677
175,T1181TS439_5o,0.566,0.1883346116970278,0.75049
176,T1181TS239_1o,0.668,0.267895493767977,0.50783
177,T1181TS147_3o,0.528,0.22398370086289549,0.84224
178,T1181TS086_4o,0.611,0.22735186960690318,0.85413
179,T1181TS205_5o,0.334,0.1373883029721956,0.72281
180,T1181TS298_5o,0.29,0.053303930968360495,0.73121
181,T1181TS046_1o,0.307,0.11771140939597316,0.7673
182,T1181TS390_1o,0.527,0.22131735378715245,0.46264
183,T1181TS158_3o,0.515,0.1989856184084372,0.44535
184,T1181TS147_1o,0.27,0.11118024928092043,0.42177
185,T1181TS314_5o,0.441,0.11503355704697987,0.79041
186,T1181TS054_2o,0.337,0.14679482262703739,0.4221
187,T1181TS298_2o,0.298,0.1302933844678811,0.75978
188,T1181TS446_4o,0.616,0.22468648130393098,0.85009
189,T1181TS456_3o,0.267,0.11033173537871524,0.44294
190,T1181TS054_4o,0.36,0.060656759348034515,0.69359
191,T1181TS433_5o,0.005,0.013969319271332693,0.44737
192,T1181TS245_5o,0.401,0.13365771812080537,0.76051
193,T1181TS314_4o,0.403,0.13699328859060403,0.75997
194,T1181TS304_5o,0.305,0.10801054650047939,0.78116
195,T1181TS037_5o,0.387,0.07762607861936721,0.72398
196,T1181TS461_3o,0.463,0.15165771812080536,0.42134
197,T1181TS439_3o,0.526,0.20835666347075743,0.43687
198,T1181TS456_1o,0.267,0.11033173537871524,0.44294
199,T1181TS185_3o,0.578,0.1903422818791946,0.45327
200,T1181TS433_4o,0.0,0.017966442953020134,0.37161
201,T1181TS447_2o,0.018,0.03929721955896452,0.41498
202,T1181TS054_3o,0.417,0.1466490891658677,0.79193
203,T1181TS098_4o,0.168,0.06837200383509108,0.59526
204,T1181TS374_1o,0.618,0.2396999041227229,0.84665
205,T1181TS446_1o,0.541,0.21894918504314476,0.46568
206,T1181TS304_1o,0.307,0.11771140939597316,0.7673
207,T1181TS390_3o,0.491,0.15096548418024927,0.75294
208,T1181TS494_4o,0.504,0.19300575263662512,0.80363
209,T1181TS185_5o,0.578,0.1903422818791946,0.45327
210,T1181TS398_5o,0.52,0.17300767018216684,0.833
211,T1181TS205_2o,0.364,0.13634228187919462,0.40666
212,T1181TS367_2o,0.597,0.21300287631831255,0.8334
213,T1181TS165_3o,0.486,0.1420057526366251,0.81997
214,T1181TS071_1o,0.516,0.2014659635666347,0.47414
215,T1181TS245_2o,0.403,0.13767209971236816,0.76034
216,T1181TS462_5o,0.463,0.15165771812080536,0.42134
217,T1181TS374_3o,0.615,0.2226845637583893,0.43959
218,T1181TS456_2o,0.267,0.11033173537871524,0.44294
219,T1181TS439_2o,0.668,0.267895493767977,0.50783
220,T1181TS398_2o,0.52,0.17300767018216684,0.833
221,T1181TS248_5o,0.305,0.10801054650047939,0.78116
222,T1181TS187_2o,0.398,0.0813470757430489,0.71916
223,T1181TS314_1o,0.527,0.22131735378715245,0.46264
224,T1181TS374_4o,0.618,0.22567497603068076,0.45696
225,T1181TS119_4o,0.658,0.2576970278044104,0.84609
226,T1181TS187_5o,0.329,0.07632694151486098,0.61468
227,T1181TS158_4o,0.512,0.19832310642377757,0.44209
228,T1181TS360_4o,0.294,0.12575743048897411,0.40275
229,T1181TS493_4o,0.208,0.044288590604026845,0.33765
230,T1181TS298_1o,0.351,0.12701917545541705,0.72117
231,T1181TS098_5o,0.287,0.13070278044103548,0.42677
232,T1181TS348_2o,0.299,0.1271236816874401,0.41495
233,T1181TS350_1o,0.483,0.20391466922339407,0.44158
234,T1181TS158_1o,0.611,0.22735186960690318,0.85413
235,T1181TS462_1o,0.541,0.21894918504314476,0.46568
236,T1181TS320_2o,0.527,0.22131735378715245,0.46264
237,T1181TS188_3o,0.377,0.1463346116970278,0.78434
238,T1181TS229_2o,0.657,0.25285714285714284,0.87569
239,T1181TS125_4o,0.36,0.060656759348034515,0.69359
240,T1181TS461_1o,0.541,0.21894918504314476,0.46568
241,T1181TS131_3o,0.382,0.0786692233940556,0.70051
242,T1181TS312_3o,0.0,0.004000958772770853,0.30624
243,T1181TS444_3o,0.208,0.08531160115052733,0.73316
244,T1181TS441_4o,0.0,0.017966442953020134,0.37161
245,T1181TS494_1o,0.501,0.19499808245445832,0.43172
246,T1181TS180_1o,0.516,0.1590038350910834,0.84114
247,T1181TS054_1o,0.405,0.13700479386385425,0.76787
248,T1181TS423_3o,0.329,0.07632694151486098,0.61468
249,T1181TS122_3o,0.541,0.21894918504314476,0.46568
250,T1181TS131_4o,0.427,0.13795206136145735,0.42818
251,T1181TS245_1o,0.403,0.13767305848513903,0.76023
252,T1181TS447_3o,0.024,0.04537967401725791,0.32402
253,T1181TS091_3o,0.007,0.008963566634707574,0.35452
254,T1181TS091_1o,0.0,0.0053240651965484175,0.24699
255,T1181TS291_4o,0.521,0.16132214765100672,0.39999
256,T1181TS367_1o,0.611,0.22735186960690318,0.85413
257,T1181TS122_5o,0.541,0.21894918504314476,0.46568
258,T1181TS493_3o,0.464,0.13160882070949187,0.38565
259,T1181TS071_3o,0.493,0.18234036433365292,0.4486
260,T1181TS312_1o,0.0,0.003,0.30669
261,T1181TS360_5o,0.304,0.13235666347075745,0.4207
262,T1181TS347_5o,0.267,0.11033173537871524,0.44294
263,T1181TS462_4o,0.547,0.17999424736337488,0.44027
264,T1181TS185_4o,0.407,0.146,0.43715
265,T1181TS291_5o,0.486,0.15935953978907,0.76894
266,T1181TS188_5o,0.249,0.08970469798657718,0.35521
267,T1181TS312_2o,0.0,0.002335570469798658,0.28988
268,T1181TS125_1o,0.405,0.13700479386385425,0.76787
269,T1181TS494_3o,0.574,0.209,0.42167
270,T1181TS205_1o,0.377,0.14433557046979864,0.79
271,T1181TS447_4o,0.019,0.03498849472674976,0.32468
272,T1181TS205_3o,0.302,0.12827900287631833,0.77753
273,T1181TS298_4o,0.293,0.12342761265580056,0.73311
274,T1181TS046_2o,0.336,0.13900958772770855,0.79847
275,T1181TS348_1o,0.527,0.22131735378715245,0.46264
276,T1181TS054_5o,0.353,0.11898657718120806,0.34853
277,T1181TS347_2o,0.267,0.11033173537871524,0.44294
278,T1181TS461_4o,0.616,0.22468648130393098,0.85009
279,T1181TS278_3o,0.536,0.20967209971236817,0.83584
280,T1181TS374_2o,0.598,0.22000000000000003,0.44941
281,T1181TS245_4o,0.402,0.1349980824544583,0.76047
282,T1181TS320_1o,0.574,0.24246500479386385,0.46849
