0.32535,0.00,0.31490,0.33074,0.00,0.33198,0.00,0.32542,0.00,0.32788,0.32687,0.00,0.00,0.34491,0.21812,0.00,0.33198,0.32781,0.00,0.32750,0.32268,0.32853,0.33134,0.32626,0.32858,0.32828,0.33379,0.32046,0.00,0.00,0.32653,0.00,0.00,0.00,0.00,0.00,0.00,0.32765,0.00,0.31490,0.00,0.34653,0.00,0.00,0.33827,0.00,0.32338,0.27244,0.00,0.00,0.32210,0.00,0.00,0.00,0.00,0.32699,0.32902,0.00,0.32758,0.32877,0.00,0.00,0.32655,0.00,0.32210,0.00,0.31553,0.33198,0.32900,0.00,0.00,0.32698,0.00,0.32942,0.32712,0.32466,0.00,0.00,0.32712,0.32858,0.00,0.00,0.00,0.31770
0.32877,0.00,0.27093,0.33445,0.00,0.32621,0.00,0.32793,0.00,0.33113,0.32639,0.00,0.00,0.32803,0.21420,0.00,0.32621,0.32728,0.00,0.32736,0.32156,0.32489,0.21114,0.32810,0.32908,0.32767,0.32705,0.32716,0.00,0.00,0.33391,0.00,0.00,0.00,0.00,0.00,0.00,0.32873,0.00,0.27093,0.00,0.33143,0.00,0.00,0.32918,0.00,0.32104,0.19031,0.00,0.00,0.32013,0.00,0.00,0.00,0.00,0.32949,0.32878,0.00,0.32796,0.32731,0.00,0.00,0.32941,0.00,0.32013,0.00,0.32141,0.32621,0.33379,0.00,0.00,0.32644,0.00,0.31677,0.32997,0.32368,0.00,0.00,0.32997,0.32908,0.00,0.00,0.00,0.33270
0.32723,0.00,0.28163,0.31853,0.00,0.33284,0.00,0.32726,0.00,0.32877,0.32937,0.00,0.00,0.34505,0.21802,0.00,0.33284,0.21965,0.00,0.32926,0.32656,0.33113,0.33608,0.32778,0.32903,0.33113,0.32824,0.31766,0.00,0.00,0.31927,0.00,0.00,0.00,0.00,0.00,0.00,0.32662,0.00,0.28163,0.00,0.33814,0.00,0.00,0.32708,0.00,0.32356,0.27085,0.00,0.00,0.32655,0.00,0.00,0.00,0.00,0.32884,0.33074,0.00,0.32769,0.32684,0.00,0.00,0.33214,0.00,0.32655,0.00,0.31553,0.33284,0.32824,0.00,0.00,0.32847,0.00,0.32999,0.32917,0.32381,0.00,0.00,0.32917,0.32903,0.00,0.00,0.00,0.65387
0.90452,0.97072,0.97308,0.97557,0.00,0.90221,0.56766,0.96805,0.87328,0.89952,0.76485,0.97251,0.00,0.90279,0.90907,0.00,0.90221,0.90907,0.89460,0.95574,0.89569,0.90452,0.95657,0.89916,0.97628,0.85955,0.59180,0.90279,0.00,0.00,0.86975,0.61404,0.94329,0.89460,0.96645,0.72845,0.00,0.96645,0.94187,0.97308,0.89201,0.96647,0.00,0.89250,0.90625,0.97308,0.82782,0.96821,0.00,0.00,0.89569,0.00,0.43405,0.00,0.00,0.95778,0.89250,0.00,0.90157,0.90104,0.43405,0.00,0.94269,0.93824,0.89569,0.00,0.88613,0.90221,0.59180,0.58574,0.97072,0.97223,0.58574,0.96145,0.97323,0.42539,0.00,0.00,0.97323,0.91728,0.00,0.97258,0.88573,0.97718
0.90418,0.95851,0.90815,0.60954,0.00,0.93857,0.56850,0.89579,0.88703,0.90452,0.71011,0.00,0.00,0.89521,0.90141,0.00,0.93857,0.90141,0.90567,0.94194,0.96821,0.89952,0.95899,0.87749,0.97794,0.86415,0.59807,0.89521,0.00,0.00,0.89920,0.65029,0.94161,0.90567,0.95240,0.71278,0.00,0.96960,0.93824,0.90815,0.89116,0.56236,0.00,0.89750,0.90010,0.90815,0.57018,0.96635,0.00,0.00,0.96821,0.00,0.39538,0.00,0.00,0.95574,0.89750,0.00,0.90894,0.89668,0.39538,0.00,0.97038,0.94187,0.96821,0.00,0.80521,0.93857,0.59807,0.59301,0.95851,0.90506,0.59301,0.89345,0.97850,0.47101,0.00,0.00,0.97850,0.97487,0.00,0.00,0.92354,0.63652
0.89952,0.95801,0.91004,0.56172,0.00,0.90179,0.00,0.90062,0.58029,0.97562,0.69109,0.00,0.00,0.90170,0.88973,0.00,0.90179,0.88973,0.90421,0.96590,0.96635,0.90204,0.91328,0.89704,0.97557,0.86724,0.95725,0.89612,0.00,0.00,0.90131,0.65241,0.94108,0.90421,0.89045,0.65360,0.00,0.96614,0.93660,0.91004,0.87970,0.56982,0.00,0.89356,0.91287,0.91004,0.74491,0.95574,0.00,0.00,0.96635,0.00,0.38690,0.00,0.00,0.95360,0.89356,0.00,0.91220,0.90026,0.38690,0.00,0.93694,0.93660,0.96635,0.00,0.91328,0.90179,0.95725,0.60586,0.95801,0.87649,0.60586,0.89778,0.97470,0.42862,0.00,0.00,0.97470,0.92053,0.00,0.00,0.93859,0.61218
0.90005,0.96604,0.90014,0.56197,0.00,0.93926,0.00,0.90952,0.88419,0.90204,0.61402,0.00,0.00,0.95854,0.96983,0.00,0.93926,0.96983,0.90987,0.96275,0.90476,0.89668,0.91747,0.91121,0.97610,0.86713,0.92706,0.95105,0.00,0.00,0.89685,0.67218,0.93941,0.90987,0.97323,0.77286,0.00,0.88559,0.56535,0.90014,0.89602,0.67270,0.00,0.90002,0.90700,0.90014,0.57338,0.95360,0.00,0.00,0.90476,0.00,0.37565,0.00,0.00,0.96821,0.90002,0.00,0.89981,0.90004,0.37565,0.00,0.93463,0.56535,0.90476,0.00,0.88613,0.93926,0.92706,0.61154,0.96604,0.97016,0.61154,0.96389,0.91187,0.51111,0.00,0.00,0.91187,0.92948,0.00,0.00,0.92440,0.59635
0.90046,0.97288,0.96809,0.78622,0.00,0.90179,0.00,0.89853,0.86873,0.89797,0.60725,0.00,0.00,0.55019,0.90815,0.00,0.90179,0.89356,0.90375,0.86564,0.91085,0.89797,0.91553,0.89612,0.93468,0.88574,0.89638,0.90257,0.00,0.00,0.85520,0.61486,0.94166,0.90375,0.95919,0.82590,0.00,0.87649,0.59913,0.96809,0.91983,0.64015,0.00,0.89812,0.90546,0.96809,0.81076,0.95778,0.00,0.00,0.91085,0.00,0.38539,0.00,0.00,0.90199,0.89812,0.00,0.90376,0.90303,0.38539,0.00,0.94058,0.59913,0.91085,0.00,0.80521,0.90179,0.89638,0.57854,0.97288,0.91087,0.57854,0.59270,0.91453,0.51647,0.00,0.00,0.91453,0.92111,0.00,0.00,0.88254,0.56334
0.92681,0.00,0.88982,0.92008,0.88982,0.91892,0.00,0.91438,0.90842,0.92426,0.54273,0.00,0.00,0.88876,0.91735,0.00,0.91892,0.90477,0.00,0.92260,0.92309,0.92426,0.88702,0.92594,0.91212,0.84713,0.45743,0.88999,0.00,0.00,0.90316,0.00,0.00,0.00,0.91425,0.00,0.00,0.92465,0.83319,0.88982,0.00,0.89745,0.90636,0.91818,0.92007,0.88982,0.38344,0.00,0.00,0.00,0.92331,0.74054,0.00,0.00,0.74054,0.92377,0.91818,0.00,0.92599,0.92700,0.00,0.00,0.91905,0.83319,0.92346,0.00,0.92066,0.91892,0.45743,0.00,0.00,0.91425,0.00,0.84104,0.91738,0.73703,0.74054,0.00,0.91738,0.91212,0.91601,0.91972,0.87102,0.91378
0.91732,0.00,0.78358,0.75913,0.78358,0.92376,0.00,0.92184,0.90689,0.92321,0.32826,0.00,0.00,0.14447,0.91366,0.00,0.92376,0.90659,0.00,0.92272,0.92452,0.92321,0.89849,0.92594,0.91737,0.85282,0.45863,0.88872,0.00,0.00,0.90297,0.00,0.00,0.00,0.91091,0.00,0.00,0.91811,0.00,0.78358,0.00,0.92273,0.90689,0.91984,0.92322,0.78358,0.11134,0.00,0.00,0.00,0.91375,0.00,0.00,0.00,0.00,0.92478,0.91984,0.00,0.92514,0.92518,0.00,0.00,0.91968,0.00,0.92578,0.00,0.91333,0.92376,0.45863,0.00,0.00,0.91091,0.00,0.89483,0.91367,0.68591,0.00,0.00,0.91367,0.91737,0.00,0.00,0.88620,0.91890
0.92518,0.00,0.89929,0.73122,0.89929,0.92429,0.00,0.92434,0.90638,0.92361,0.33558,0.00,0.00,0.92594,0.90477,0.00,0.92429,0.88799,0.00,0.92356,0.91826,0.92361,0.86668,0.88876,0.92411,0.85646,0.45809,0.89191,0.00,0.00,0.91787,0.00,0.00,0.00,0.91198,0.00,0.00,0.91849,0.00,0.89929,0.00,0.76171,0.90638,0.92289,0.92003,0.89929,0.25973,0.00,0.00,0.00,0.91760,0.00,0.00,0.00,0.00,0.91765,0.92289,0.00,0.92647,0.91893,0.00,0.00,0.92052,0.00,0.92292,0.00,0.91793,0.92429,0.45809,0.00,0.00,0.91198,0.00,0.88573,0.92299,0.60513,0.00,0.00,0.92299,0.92411,0.00,0.00,0.89864,0.90852
0.92700,0.00,0.89630,0.51945,0.89630,0.92658,0.00,0.92206,0.53548,0.91785,0.33461,0.00,0.00,0.92594,0.90659,0.00,0.92658,0.91074,0.00,0.92626,0.91227,0.91792,0.86351,0.88876,0.92351,0.85420,0.45601,0.92594,0.00,0.00,0.91158,0.00,0.00,0.00,0.92485,0.00,0.00,0.92682,0.00,0.89630,0.00,0.78659,0.53548,0.90990,0.92139,0.89630,0.10281,0.00,0.00,0.00,0.91950,0.00,0.00,0.00,0.00,0.92404,0.90990,0.00,0.92544,0.92823,0.00,0.00,0.91672,0.00,0.92594,0.00,0.89849,0.92658,0.45601,0.00,0.00,0.92485,0.00,0.89474,0.92501,0.73703,0.00,0.00,0.92501,0.92351,0.00,0.00,0.89391,0.81132
0.92426,0.00,0.90199,0.44315,0.90199,0.92425,0.00,0.92272,0.88673,0.91792,0.29890,0.00,0.00,0.88876,0.92299,0.00,0.92425,0.90239,0.00,0.92603,0.91244,0.91785,0.91727,0.14447,0.90640,0.84598,0.45445,0.92705,0.00,0.00,0.89834,0.00,0.00,0.00,0.92113,0.00,0.00,0.91753,0.00,0.90199,0.00,0.87110,0.88673,0.91604,0.91575,0.90199,0.15271,0.00,0.00,0.00,0.92172,0.00,0.00,0.00,0.00,0.92261,0.91604,0.00,0.92636,0.92199,0.00,0.00,0.91728,0.00,0.92705,0.00,0.66414,0.92425,0.45390,0.00,0.00,0.92113,0.00,0.91799,0.90831,0.73703,0.00,0.00,0.90831,0.90640,0.00,0.00,0.88929,0.81356
0.93002,0.14756,0.92914,0.00,0.92914,0.90556,0.51478,0.93010,0.86553,0.93002,0.00,0.90869,0.14852,0.85313,0.90623,0.90802,0.90556,0.88706,0.14756,0.90761,0.00,0.93002,0.85985,0.89705,0.90725,0.82469,0.00,0.89222,0.90725,0.00,0.88034,0.00,0.00,0.14756,0.93310,0.00,0.90725,0.00,0.81050,0.92914,0.90677,0.00,0.86553,0.91546,0.91803,0.92914,0.28069,0.90714,0.00,0.00,0.90725,0.90725,0.14075,0.00,0.90725,0.90943,0.91546,0.00,0.93305,0.93002,0.14075,0.00,0.90141,0.81050,0.90725,0.00,0.91580,0.90556,0.00,0.00,0.14756,0.93310,0.00,0.90267,0.90802,0.76112,0.90725,0.00,0.90802,0.90464,0.00,0.00,0.86822,0.87578
0.92444,0.14757,0.92914,0.00,0.92914,0.92954,0.53339,0.93155,0.86620,0.92996,0.00,0.00,0.14999,0.13245,0.90111,0.90802,0.92954,0.89012,0.14757,0.92829,0.00,0.92996,0.86500,0.87766,0.92873,0.80889,0.00,0.84706,0.00,0.00,0.88169,0.00,0.00,0.14757,0.93373,0.00,0.00,0.00,0.00,0.92914,0.88700,0.00,0.86620,0.90301,0.92827,0.92914,0.28311,0.93163,0.00,0.00,0.92873,0.90725,0.14594,0.00,0.90725,0.90653,0.90301,0.00,0.90888,0.92444,0.14594,0.00,0.90616,0.00,0.92873,0.00,0.90725,0.92954,0.00,0.00,0.14757,0.93373,0.00,0.90725,0.90546,0.75434,0.90725,0.00,0.90546,0.90084,0.00,0.00,0.91134,0.83441
0.91301,0.14727,0.92889,0.00,0.92889,0.92585,0.00,0.90882,0.84239,0.93021,0.00,0.00,0.14877,0.86799,0.87998,0.90802,0.92585,0.91037,0.14727,0.90749,0.00,0.93021,0.87538,0.86799,0.90616,0.90538,0.00,0.86799,0.00,0.00,0.89381,0.00,0.00,0.14727,0.90665,0.00,0.00,0.00,0.00,0.92889,0.89789,0.00,0.84239,0.91623,0.92936,0.92889,0.22374,0.90725,0.00,0.00,0.92213,0.90725,0.14086,0.00,0.90725,0.90714,0.91623,0.00,0.93208,0.91301,0.14086,0.00,0.92926,0.00,0.90616,0.00,0.90349,0.92585,0.00,0.00,0.14727,0.90665,0.00,0.90696,0.90910,0.76186,0.90725,0.00,0.90910,0.89392,0.00,0.00,0.86311,0.90487
0.90447,0.14766,0.90455,0.00,0.90455,0.90220,0.00,0.93269,0.85199,0.90447,0.00,0.00,0.14673,0.13245,0.87735,0.90802,0.90220,0.88677,0.14766,0.92909,0.00,0.90447,0.85807,0.89222,0.90714,0.81675,0.00,0.87766,0.00,0.00,0.87519,0.00,0.00,0.14766,0.90872,0.00,0.00,0.00,0.00,0.90455,0.89290,0.00,0.85199,0.91298,0.92965,0.90455,0.22177,0.93208,0.00,0.00,0.90714,0.90725,0.14264,0.00,0.90725,0.90686,0.91298,0.00,0.90479,0.90447,0.14264,0.00,0.92908,0.00,0.90714,0.00,0.00,0.90220,0.00,0.00,0.14766,0.90872,0.00,0.92646,0.90704,0.75441,0.90725,0.00,0.90704,0.90859,0.00,0.00,0.86836,0.87537
0.90460,0.14758,0.89817,0.00,0.89817,0.90728,0.00,0.92758,0.86577,0.90440,0.00,0.00,0.14629,0.86799,0.90625,0.90802,0.90728,0.90331,0.14758,0.90779,0.00,0.90440,0.87703,0.84706,0.90702,0.80960,0.00,0.89705,0.00,0.00,0.84686,0.00,0.00,0.14758,0.90765,0.00,0.00,0.00,0.00,0.89817,0.87418,0.00,0.86577,0.90766,0.93137,0.89817,0.17896,0.90694,0.00,0.00,0.90702,0.00,0.14248,0.00,0.00,0.90779,0.90766,0.00,0.90725,0.90460,0.14248,0.00,0.93450,0.00,0.90702,0.00,0.00,0.90728,0.00,0.00,0.14758,0.90765,0.00,0.90098,0.91142,0.75405,0.00,0.00,0.91142,0.89185,0.00,0.00,0.80735,0.91207
0.89747,0.14513,0.90224,0.00,0.90224,0.87687,0.46425,0.88993,0.83568,0.89906,0.00,0.87697,0.14526,0.41934,0.88305,0.87938,0.87687,0.88219,0.14513,0.90569,0.00,0.89906,0.84745,0.88626,0.90566,0.87537,0.00,0.87630,0.90566,0.00,0.84367,0.00,0.00,0.14513,0.90734,0.00,0.00,0.00,0.82144,0.90224,0.89185,0.00,0.83568,0.89617,0.89857,0.90224,0.29319,0.90675,0.00,0.00,0.90566,0.90566,0.13723,0.00,0.90566,0.90671,0.89617,0.00,0.89456,0.89747,0.13723,0.00,0.90618,0.82144,0.90566,0.00,0.00,0.87687,0.00,0.00,0.14513,0.90734,0.00,0.87190,0.87938,0.75168,0.90566,0.00,0.87938,0.87656,0.00,0.00,0.81419,0.85865
0.89906,0.14513,0.87493,0.00,0.87493,0.85918,0.34828,0.88082,0.83022,0.89747,0.00,0.00,0.14715,0.46513,0.87909,0.87938,0.85918,0.87142,0.14513,0.89469,0.00,0.89747,0.84050,0.87630,0.87678,0.87535,0.00,0.88626,0.00,0.00,0.85491,0.00,0.00,0.14513,0.90577,0.00,0.00,0.00,0.00,0.87493,0.90844,0.00,0.83022,0.88404,0.90123,0.87493,0.29330,0.88371,0.00,0.00,0.89456,0.90566,0.14270,0.00,0.90566,0.90566,0.88404,0.00,0.89197,0.90550,0.14270,0.00,0.89706,0.00,0.87678,0.00,0.00,0.85918,0.00,0.00,0.14513,0.90577,0.00,0.90513,0.84718,0.69901,0.90566,0.00,0.84718,0.87701,0.00,0.00,0.81209,0.88157
0.88985,0.14497,0.90606,0.00,0.90606,0.87499,0.00,0.88265,0.82735,0.88985,0.00,0.00,0.14566,0.47059,0.85689,0.87938,0.87499,0.86102,0.14497,0.90678,0.00,0.88985,0.83798,0.86626,0.89456,0.89880,0.00,0.87109,0.00,0.00,0.84802,0.00,0.00,0.14497,0.90667,0.00,0.00,0.00,0.00,0.90606,0.89446,0.00,0.82735,0.87397,0.90462,0.90606,0.20604,0.90343,0.00,0.00,0.90675,0.90566,0.13885,0.00,0.90566,0.90343,0.87397,0.00,0.88867,0.89906,0.13885,0.00,0.92599,0.00,0.89456,0.00,0.00,0.87499,0.00,0.00,0.14497,0.90667,0.00,0.87201,0.88105,0.69946,0.90566,0.00,0.88105,0.86747,0.00,0.00,0.87496,0.87205
0.88114,0.14470,0.90136,0.00,0.90136,0.88510,0.00,0.87724,0.83568,0.87818,0.00,0.00,0.14520,0.37766,0.85610,0.87938,0.88510,0.86358,0.14470,0.90375,0.00,0.90124,0.85592,0.87109,0.90675,0.80996,0.00,0.86626,0.00,0.00,0.84455,0.00,0.00,0.14470,0.88384,0.00,0.00,0.00,0.00,0.90136,0.87263,0.00,0.83568,0.88128,0.87756,0.90136,0.20572,0.90566,0.00,0.00,0.90343,0.90566,0.14010,0.00,0.90566,0.88371,0.88128,0.00,0.89954,0.88114,0.14010,0.00,0.89267,0.00,0.90675,0.00,0.00,0.88510,0.00,0.00,0.14470,0.88384,0.00,0.88007,0.88261,0.72593,0.90566,0.00,0.88261,0.85678,0.00,0.00,0.84436,0.85155
0.87818,0.14390,0.90107,0.00,0.90107,0.82625,0.00,0.87749,0.83582,0.87906,0.00,0.00,0.14317,0.41056,0.88312,0.87938,0.82625,0.87516,0.14390,0.88341,0.00,0.87906,0.84452,0.88001,0.90343,0.80934,0.00,0.88001,0.00,0.00,0.81688,0.00,0.00,0.14390,0.89641,0.00,0.00,0.00,0.00,0.90107,0.92059,0.00,0.83582,0.88560,0.88054,0.90107,0.16421,0.89752,0.00,0.00,0.88371,0.00,0.13943,0.00,0.00,0.90476,0.88560,0.00,0.87754,0.87818,0.13943,0.00,0.90499,0.00,0.90343,0.00,0.00,0.82625,0.00,0.00,0.14390,0.89641,0.00,0.85458,0.87572,0.71662,0.00,0.00,0.87572,0.86125,0.00,0.00,0.81289,0.84000
